Nome,Preço
Casa com piscina e churrasqueira,R$ 3.960
Apartamento praia central Balneário Camboriu,R$ 4.514
Like Home - Apartamento com Área Externa e Vista Mar,R$ 1.980
LA BOUTIQUE 981,R$ 1.400
Apto centro 200 mts atlântico shopping e praia,R$ 4.644
Like Home - Lindo Apartamento Frente Mar em Balneário Camboriú,R$ 1.932
Internacional Residence c linda vista Beira Mar,R$ 1.920
LINDO APARTAMENTO - 3 QUARTOS - NA QUADRA DO MAR,R$ 1.360
Casa,R$ 3.400
Excelente apartamento frente ao mar,R$ 1.392
Paraíso em Balneário Camboriú,R$ 1.400
Rancho 60,R$ 1.320
Charmoso AP. Alguns passos da Praia / Av Brasil c/Calçadão,R$ 1.088
Excelente ap 2 quartos a 250m da praia,R$ 8.694
Like Home - Luxuoso Apartamento Frente Mar - 4 Suítes,R$ 1.000
Residencia BC Centro,R$ 1.600
Galpão BC,R$ 996
Apartamento no centro - 2,R$ 1.400
Excelente ap no coração de Bc,R$ 1.596
Vamos a La Praia,R$ 1.400
casa de família,R$ 5.760
Pousada Vida e Mar,R$ 2.600
Suítes Flamboyant,R$ 3.000
maria julia 50 metros da praia,R$ 4.200
"Apto p/família Barra Norte, 03 suítes 03 garagens",R$ 1.000
Quarto de casal com vista para o mar,R$ 2.391
Apartamento Balneário Camboriú ótima localização,R$ 3.484
Like Home - Aconchegante apartamento com vista mar - 4 dormitórios,R$ 5.436
Apto a beira-mar c churrasq em Balneario Camboriu,R$ 1.800
Apartamento na Praia Brava,R$ 2.800
Quatro suites frente mar .,R$ 5.000
Cacha house estaleiro,R$ 2.400
Apartamento Balneário Camboriu,R$ 2.470
Apartamento na praia central,R$ 3.960
"Novo ap a 10mt da praia,vista mar no calçadão da av central",R$ 3.960
"Lindo apto tudo novinho, prédio frente mar",R$ 4.000
"EM CIMA DO SHOPPING ATLÂNTICO, CENTRO!",R$ 14.000
Apto vista mar,R$ 11.600
Family Confortable AP 3 vagas de garagem BC centro,R$ 2.400
"Apartamento á 30 metros praia, com vista mar.",R$ 2.408
"Lindo Apartamento Quadra Mar, Barra Sul",R$ 1.400
Residencial Primavera,R$ 1.182
Apartamento Central,R$ 4.317
Casa Walter,R$ 1.516
Apartamento Ed. Las Vegas,R$ 5.200
Edifício Merithamon,R$ 12.000
Cobertura duplex Balneario Camboriu,R$ 1.592
Morada do Estaleiro,R$ 1.676
Edificio Lago Tahoe,R$ 1.800
Residencial Chanel,R$ 1.000
Recanto Sete Mares PARA FAMÍLIAS,R$ 1.920
APARTAMENTO EM BALNEÁRIO DE CAMBORIÚ - BY RIEGER,R$ 3.000
Canto dos Coqueiros 2,R$ 1.600
Suíte Studio BC,R$ 1.932
Apartamento Edifício Frente Mar 3 Dormitórios,R$ 1.752
